"","key","age_upon_intake","animal_id.x","animal_type.x","breed.x","color.x","Intake_Date","found_location","intake_condition","intake_type","name.x","sex_upon_intake","rank.x","age_upon_outcome","animal_id.y","animal_type.y","breed.y","color.y","date_of_birth","Outcome_Date","name.y","outcome_subtype","outcome_type","sex_upon_outcome","rank.y"
"1","A006100.1","6 years","A006100","Dog","Spinone Italiano Mix","Yellow/White","2014-03-07T14:26:00.000","8700 Research in Austin (TX)","Normal","Public Assist","Scamp","Neutered Male",1,"6 years","A006100","Dog","Spinone Italiano Mix","Yellow/White","2007-07-09T00:00:00","2014-03-08T17:10:00","Scamp","","Return to Owner","Neutered Male",1
"2","A006100.2","7 years","A006100","Dog","Spinone Italiano Mix","Yellow/White","2014-12-19T10:21:00.000","8700 Research Blvd in Austin (TX)","Normal","Public Assist","Scamp","Neutered Male",2,"7 years","A006100","Dog","Spinone Italiano Mix","Yellow/White","2007-07-09T00:00:00","2014-12-20T16:35:00","Scamp","","Return to Owner","Neutered Male",2
"3","A006100.3","10 years","A006100","Dog","Spinone Italiano Mix","Yellow/White","2017-12-07T14:07:00.000","Colony Creek And Hunters Trace in Austin (TX)","Normal","Stray","Scamp","Neutered Male",3,"10 years","A006100","Dog","Spinone Italiano Mix","Yellow/White","2007-07-09T00:00:00","2017-12-07T00:00:00","Scamp","","Return to Owner","Neutered Male",3
"4","A047759.1","10 years","A047759","Dog","Dachshund","Tricolor","2014-04-02T15:55:00.000","Austin (TX)","Normal","Owner Surrender","Oreo","Neutered Male",1,"10 years","A047759","Dog","Dachshund","Tricolor","2004-04-02T00:00:00","2014-04-07T15:12:00","Oreo","Partner","Transfer","Neutered Male",1
"5","A134067.1","16 years","A134067","Dog","Shetland Sheepdog","Brown/White","2013-11-16T09:02:00.000","12034 Research Blvd in Austin (TX)","Injured","Public Assist","Bandit","Neutered Male",1,"16 years","A134067","Dog","Shetland Sheepdog","Brown/White","1997-10-16T00:00:00","2013-11-16T11:54:00","Bandit","","Return to Owner","Neutered Male",1
"6","A141142.1","15 years","A141142","Dog","Labrador Retriever/Pit Bull","Black/White","2013-11-16T14:46:00.000","Austin (TX)","Aged","Stray","Bettie","Spayed Female",1,"15 years","A141142","Dog","Labrador Retriever/Pit Bull","Black/White","1998-06-01T00:00:00","2013-11-17T11:40:00","Bettie","","Return to Owner","Spayed Female",1
"7","A163459.1","15 years","A163459","Dog","Miniature Schnauzer Mix","Black/Gray","2014-11-14T15:11:00.000","Ih 35 And 41St St in Austin (TX)","Normal","Stray","Sasha","Intact Female",1,"15 years","A163459","Dog","Miniature Schnauzer Mix","Black/Gray","1999-10-19T00:00:00","2014-11-14T19:28:00","Sasha","","Return to Owner","Intact Female",1
"8","A165752.1","15 years","A165752","Dog","Lhasa Apso Mix","Brown/White","2014-09-15T11:28:00.000","Gatlin Gun Rd And Brodie in Austin (TX)","Normal","Stray","Pep","Neutered Male",1,"15 years","A165752","Dog","Lhasa Apso Mix","Brown/White","1999-08-18T00:00:00","2014-09-15T16:35:00","Pep","","Return to Owner","Neutered Male",1
"9","A178569.1","15 years","A178569","Dog","Shetland Sheepdog Mix","White/Black","2014-03-17T09:45:00.000","Austin (TX)","Normal","Public Assist","Boti","Neutered Male",1,"15 years","A178569","Dog","Shetland Sheepdog Mix","White/Black","1999-03-17T00:00:00","2014-03-23T15:57:00","Boti","","Return to Owner","Neutered Male",1
"10","A189592.1","18 years","A189592","Dog","Shetland Sheepdog Mix","Brown/White","2015-09-18T17:46:00.000","Chesney And Slaughter in Austin (TX)","Normal","Stray","Ophelia","Spayed Female",1,"18 years","A189592","Dog","Shetland Sheepdog Mix","Brown/White","1997-08-01T00:00:00","2015-09-18T19:04:00","Ophelia","","Return to Owner","Spayed Female",1
"11","A191351.1","16 years","A191351","Cat","Domestic Longhair Mix","Black/White","2015-11-13T15:57:00.000","1912 E William Cannon Rd in Austin (TX)","Normal","Stray","Bri-Bri","Intact Female",1,"16 years","A191351","Cat","Domestic Longhair Mix","Black/White","1999-08-21T00:00:00","2015-11-17T13:29:00","Bri-Bri","","Return to Owner","Intact Female",1
"12","A197810.1","14 years","A197810","Cat","American Shorthair Mix","Brown Tabby/White","2014-12-08T12:30:00.000","4616 E Cesar Chavez in Austin (TX)","Normal","Stray","Sassafrass","Spayed Female",1,"14 years","A197810","Cat","American Shorthair Mix","Brown Tabby/White","2000-01-21T00:00:00","2014-12-22T15:23:00","Sassafrass","Partner","Transfer","Spayed Female",1
"13","A200922.1","16 years","A200922","Dog","Dachshund Mix","Black/Tan","2013-10-03T15:47:00.000","Austin (TX)","Normal","Owner Surrender","Carlos","Neutered Male",1,"16 years","A200922","Dog","Dachshund Mix","Black/Tan","1997-10-03T00:00:00","2013-11-22T09:44:00","Carlos","Foster","Adoption","Neutered Male",1
"14","A208755.1","14 years","A208755","Dog","Border Collie Mix","Black/White","2015-02-17T13:17:00.000","Austin (TX)","Sick","Owner Surrender","Kootrie","Neutered Male",1,"14 years","A208755","Dog","Border Collie Mix","Black/White","2000-04-27T00:00:00","2015-02-17T16:25:00","Kootrie","Suffering","Euthanasia","Neutered Male",1
"15","A210457.1","17 years","A210457","Dog","Chihuahua Shorthair","Tan/Black","2016-09-28T12:05:00.000","4424 S Mopac #412 in Austin (TX)","Aged","Public Assist","Caleb","Neutered Male",1,"17 years","A210457","Dog","Chihuahua Shorthair","Tan/Black","1999-06-01T00:00:00","2016-10-07T12:34:00","Caleb","Foster","Adoption","Neutered Male",1
"16","A212672.1","13 years","A212672","Dog","German Shepherd/Labrador Retriever","Tan/Black","2013-11-25T17:18:00.000","14611  Wells Port Dr in Austin (TX)","Normal","Stray","Cujo","Intact Female",1,"13 years","A212672","Dog","German Shepherd/Labrador Retriever","Tan/Black","2000-03-05T00:00:00","2013-12-06T14:34:00","Cujo","","Return to Owner","Intact Female",1
"17","A214991.1","19 years","A214991","Cat","Domestic Shorthair","Black","2013-12-14T11:51:00.000","Austin (TX)","Aged","Euthanasia Request","Prissy","Spayed Female",1,"19 years","A214991","Cat","Domestic Shorthair","Black","1994-03-01T00:00:00","2013-12-14T13:28:00","Prissy","Suffering","Euthanasia","Spayed Female",1
"18","A215368.1","13 years","A215368","Dog","Newfoundland Mix","Black","2014-08-04T13:51:00.000","Clay/Ulrich in Austin (TX)","Normal","Stray","Guiness","Neutered Male",1,"13 years","A215368","Dog","Newfoundland Mix","Black","2001-01-17T00:00:00","2014-08-04T16:31:00","Guiness","","Return to Owner","Neutered Male",1
"19","A218622.1","15 years","A218622","Dog","Pug","Gold/Gold","2013-12-02T15:33:00.000","Austin (TX)","Sick","Owner Surrender","Oliver","Neutered Male",1,"15 years","A218622","Dog","Pug","Gold/Gold","1998-10-19T00:00:00","2013-12-02T17:09:00","Oliver","Suffering","Euthanasia","Neutered Male",1
"20","A218624.1","15 years","A218624","Dog","Pug","Gold/Gold","2013-12-02T15:33:00.000","Austin (TX)","Sick","Owner Surrender","Cookie","Neutered Male",1,"15 years","A218624","Dog","Pug","Gold/Gold","1998-10-19T00:00:00","2013-12-02T17:11:00","Cookie","Suffering","Euthanasia","Neutered Male",1
"21","A221327.1","16 years","A221327","Dog","Staffordshire Mix","Brown/White","2015-04-28T15:08:00.000","7400 Arrowmound in Austin (TX)","Injured","Stray","Jamie","Spayed Female",1,"16 years","A221327","Dog","Staffordshire Mix","Brown/White","1999-05-02T00:00:00","2015-04-29T13:42:00","Jamie","Suffering","Euthanasia","Spayed Female",1
"22","A221448.1","12 years","A221448","Dog","Labrador Retriever Mix","Brown/White","2013-10-27T11:17:00.000","Silver Spring Dr And Mesa Dr in Austin (TX)","Normal","Stray","Tucker","Neutered Male",1,"12 years","A221448","Dog","Labrador Retriever Mix","Brown/White","2000-11-29T00:00:00","2013-10-28T12:37:00","Tucker","","Return to Owner","Neutered Male",1
"23","A226069.1","15 years","A226069","Dog","Labrador Retriever/Beagle","Sable/White","2015-10-06T12:29:00.000","Wheless Ln And Berkman Dr in Austin (TX)","Normal","Stray","Cedar","Neutered Male",1,"15 years","A226069","Dog","Labrador Retriever/Beagle","Sable/White","2000-06-17T00:00:00","2015-10-29T15:00:00","Cedar","Foster","Adoption","Neutered Male",1
"24","A228887.1","12 years","A228887","Dog","Catahoula/Labrador Retriever","Blue Merle/Tan","2013-11-09T17:00:00.000","Lincolnshire in Austin (TX)","Normal","Stray","Lucy","Spayed Female",1,"12 years","A228887","Dog","Catahoula/Labrador Retriever","Blue Merle/Tan","2001-04-27T00:00:00","2013-11-09T17:42:00","Lucy","","Return to Owner","Spayed Female",1
"25","A230482.1","13 years","A230482","Dog","Queensland Heeler","Blue Merle","2015-03-13T15:20:00.000","Austin (TX)","Aged","Euthanasia Request","Dakota Dean","Intact Male",1,"13 years","A230482","Dog","Queensland Heeler","Blue Merle","2001-03-20T00:00:00","2015-03-13T17:01:00","Dakota Dean","Suffering","Euthanasia","Intact Male",1
"26","A233812.1","13 years","A233812","Dog","Rottweiler/Chow Chow","Brown/Black","2014-09-06T14:37:00.000","12317 Wycliff Ln in Austin (TX)","Aged","Stray","Bandit","Neutered Male",1,"13 years","A233812","Dog","Rottweiler/Chow Chow","Brown/Black","2001-06-08T00:00:00","2014-09-06T18:52:00","Bandit","","Return to Owner","Neutered Male",1
"27","A234161.1","12 years","A234161","Cat","Domestic Shorthair Mix","Black/White","2013-12-27T12:13:00.000","1401 E Rundberg Ln in Austin (TX)","Normal","Stray","Midnight","Neutered Male",1,"12 years","A234161","Cat","Domestic Shorthair Mix","Black/White","2001-03-26T00:00:00","2013-12-27T17:02:00","Midnight","","Return to Owner","Neutered Male",1
"28","A236259.1","12 years","A236259","Dog","Smooth Fox Terrier Mix","Black/Tricolor","2014-07-05T07:13:00.000","Westgate & Cameron Loop in Austin (TX)","Normal","Stray","Captain","Neutered Male",1,"13 years","A236259","Dog","Smooth Fox Terrier Mix","Black/Tricolor","2001-07-10T00:00:00","2014-07-09T12:00:00","Captain","","Return to Owner","Neutered Male",1
"29","A238870.1","15 years","A238870","Dog","Rat Terrier Mix","Gray/White","2016-06-09T16:22:00.000","8411 Ganttcrest Dr in Austin (TX)","Normal","Stray","Jam","Neutered Male",1,"15 years","A238870","Dog","Rat Terrier Mix","Gray/White","2001-05-24T00:00:00","2016-06-17T12:37:00","Jam","Partner","Transfer","Neutered Male",1
"30","A243903.1","13 years","A243903","Cat","Domestic Shorthair","Black/Black","2013-12-31T16:26:00.000","50Th And Martin in Austin (TX)","Sick","Stray","Budgie","Neutered Male",1,"13 years","A243903","Cat","Domestic Shorthair","Black/Black","2000-07-12T00:00:00","2014-01-05T11:45:00","Budgie","","Return to Owner","Neutered Male",1
"31","A245945.1","14 years","A245945","Dog","Labrador Retriever Mix","Tan","2014-07-03T17:55:00.000","Garden And Mildred in Austin (TX)","Normal","Stray","Boomer","Neutered Male",1,"14 years","A245945","Dog","Labrador Retriever Mix","Tan","2000-05-23T00:00:00","2014-07-04T15:26:00","Boomer","","Return to Owner","Neutered Male",1
"32","A245945.2","15 years","A245945","Dog","Labrador Retriever Mix","Tan","2015-05-20T22:34:00.000","7403 Blessing Ave in Austin (TX)","Normal","Stray","Boomer","Neutered Male",2,"15 years","A245945","Dog","Labrador Retriever Mix","Tan","2000-05-23T00:00:00","2015-05-25T11:49:00","Boomer","Partner","Transfer","Neutered Male",2
"33","A249087.1","15 years","A249087","Dog","German Shepherd Mix","Black/Brown","2016-08-17T14:05:00.000","E 6Th St And Pedernales in Austin (TX)","Normal","Stray","*Polly","Spayed Female",1,"15 years","A249087","Dog","German Shepherd Mix","Black/Brown","2001-01-02T00:00:00","2016-11-15T10:37:00","*Polly","Foster","Adoption","Spayed Female",1
"34","A251095.1","14 years","A251095","Dog","Border Collie","Tricolor","2016-03-02T11:55:00.000","Travis (TX)","Aged","Euthanasia Request","Beauty","Spayed Female",1,"14 years","A251095","Dog","Border Collie","Tricolor","2001-12-03T00:00:00","2016-03-02T13:16:00","Beauty","Medical","Euthanasia","Spayed Female",1
"35","A251214.1","12 years","A251214","Dog","German Shepherd Mix","Cream","2014-09-04T15:16:00.000","St Edwards Dr & Sherwood Ln in Austin (TX)","Normal","Stray","Rex","Neutered Male",1,"12 years","A251214","Dog","German Shepherd Mix","Cream","2001-10-27T00:00:00","2014-09-04T16:12:00","Rex","","Return to Owner","Neutered Male",1
"36","A251268.1","17 years","A251268","Cat","Domestic Shorthair Mix","Black","2018-01-27T15:06:00.000","10605 Berthound in Austin (TX)","Normal","Stray","Sully","Neutered Male",1,"17 years","A251268","Cat","Domestic Shorthair Mix","Black","2000-11-28T00:00:00","2018-01-29T16:07:00","Sully","","Return to Owner","Neutered Male",1
"37","A251402.1","18 years","A251402","Dog","Chihuahua Shorthair Mix","Tan","2017-10-22T18:41:00.000","2905 French Place in Austin (TX)","Normal","Stray","Amy","Spayed Female",1,"18 years","A251402","Dog","Chihuahua Shorthair Mix","Tan","1999-01-25T00:00:00","2017-10-23T11:32:00","Amy","","Return to Owner","Spayed Female",1
"38","A253939.1","12 years","A253939","Dog","Pit Bull/Catahoula","Red","2014-01-13T14:16:00.000","1305 W Oltorf in Austin (TX)","Normal","Stray","Dirty","Spayed Female",1,"12 years","A253939","Dog","Pit Bull/Catahoula","Red","2001-07-28T00:00:00","2014-01-13T15:54:00","Dirty","","Return to Owner","Spayed Female",1
"39","A254503.1","17 years","A254503","Dog","Labrador Retriever Mix","Tan","2014-11-09T11:04:00.000","8603 Fathom Cir in Austin (TX)","Normal","Stray","Daisy","Spayed Female",1,"17 years","A254503","Dog","Labrador Retriever Mix","Tan","1997-05-07T00:00:00","2014-11-13T11:30:00","Daisy","Suffering","Euthanasia","Spayed Female",1
"40","A256412.1","16 years","A256412","Dog","Labrador Retriever Mix","Yellow","2013-10-06T11:33:00.000","1001 Pres Arriba Rd in Austin (TX)","Injured","Stray","Beau","Intact Male",1,"16 years","A256412","Dog","Labrador Retriever Mix","Yellow","1997-03-11T00:00:00","2013-10-06T14:26:00","Beau","","Return to Owner","Intact Male",1
"41","A258441.1","14 years","A258441","Cat","Domestic Shorthair Mix","Gray Tabby/White","2014-11-28T12:20:00.000","Austin (TX)","Sick","Euthanasia Request","Spring","Spayed Female",1,"14 years","A258441","Cat","Domestic Shorthair Mix","Gray Tabby/White","2000-10-08T00:00:00","2014-11-28T14:27:00","Spring","Suffering","Euthanasia","Spayed Female",1
"42","A260631.1","14 years","A260631","Cat","Domestic Longhair Mix","Black/White","2014-10-16T18:17:00.000","600 Barwood Place in Austin (TX)","Normal","Stray","Popki","Neutered Male",1,"14 years","A260631","Cat","Domestic Longhair Mix","Black/White","2000-04-20T00:00:00","2014-10-20T13:50:00","Popki","Partner","Transfer","Neutered Male",1
"43","A260914.1","13 years","A260914","Dog","Border Collie/Catahoula","Brown Merle","2015-06-17T13:56:00.000","17800 Aleppo Pine Trl in Travis (TX)","Normal","Stray","Champagne","Neutered Male",1,"13 years","A260914","Dog","Border Collie/Catahoula","Brown Merle","2002-02-22T00:00:00","2015-06-18T11:09:00","Champagne","","Return to Owner","Neutered Male",1
"44","A261398.1","14 years","A261398","Dog","Bichon Frise Mix","White","2016-01-11T16:31:00.000","3706 Steck Ave in Austin (TX)","Normal","Public Assist","Dilly","Neutered Male",1,"14 years","A261398","Dog","Bichon Frise Mix","White","2002-01-01T00:00:00","2016-01-12T12:50:00","Dilly","","Return to Owner","Neutered Male",1
"45","A261770.1","20 years","A261770","Cat","Domestic Shorthair Mix","White","2014-11-07T13:40:00.000","Del Valle (TX)","Normal","Euthanasia Request","Halo","Neutered Male",1,"20 years","A261770","Cat","Domestic Shorthair Mix","White","1994-11-07T00:00:00","2014-11-07T15:51:00","Halo","Suffering","Euthanasia","Neutered Male",1
"46","A267174.1","12 years","A267174","Dog","Jack Russell Terrier Mix","White/Brown","2014-03-12T18:12:00.000","Austin (TX)","Normal","Public Assist","Jackie","Neutered Male",1,"12 years","A267174","Dog","Jack Russell Terrier Mix","White/Brown","2002-02-09T00:00:00","2014-03-19T11:39:00","Jackie","","Return to Owner","Neutered Male",1
"47","A268022.1","13 years","A268022","Dog","Labrador Retriever Mix","Tan","2015-08-03T12:03:00.000","Outside Jurisdiction","Normal","Euthanasia Request","China","Spayed Female",1,"13 years","A268022","Dog","Labrador Retriever Mix","Tan","2002-04-06T00:00:00","2015-08-03T13:08:00","China","Suffering","Euthanasia","Spayed Female",1
"48","A271790.1","12 years","A271790","Dog","Harrier Mix","Tricolor","2014-09-14T23:22:00.000","9112 Edmundsburg Dr in Austin (TX)","Normal","Stray","Grant","Neutered Male",1,"12 years","A271790","Dog","Harrier Mix","Tricolor","2002-02-13T00:00:00","2014-09-21T16:23:00","Grant","Medical","Euthanasia","Neutered Male",1
"49","A274546.1","11 years","A274546","Dog","Pointer Mix","Tricolor","2013-11-13T18:16:00.000","Manchaca And Slaughter in Austin (TX)","Normal","Stray","Sophie","Spayed Female",1,"11 years","A274546","Dog","Pointer Mix","Tricolor","2002-05-25T00:00:00","2013-11-16T12:24:00","Sophie","","Adoption","Spayed Female",1
"50","A276644.1","14 years","A276644","Cat","Domestic Shorthair Mix","Tortie","2016-12-27T14:51:00.000","Austin (TX)","Sick","Owner Surrender","Munchkin","Spayed Female",1,"14 years","A276644","Cat","Domestic Shorthair Mix","Tortie","2002-06-01T00:00:00","2017-01-02T11:03:00","Munchkin","Partner","Transfer","Spayed Female",1
"51","A276780.1","11 years","A276780","Dog","Border Collie/Chow Chow","Black","2013-11-22T07:50:00.000","4434 Frontier Trl in Austin (TX)","Normal","Stray","Seth","Neutered Male",1,"11 years","A276780","Dog","Border Collie/Chow Chow","Black","2002-05-27T00:00:00","2013-11-22T15:56:00","Seth","","Return to Owner","Neutered Male",1
"52","A279045.1","14 years","A279045","Cat","Domestic Shorthair Mix","White/Gray Tabby","2015-02-02T16:30:00.000","Austin (TX)","Normal","Public Assist","Pyewackett","Spayed Female",1,"14 years","A279045","Cat","Domestic Shorthair Mix","White/Gray Tabby","2000-09-17T00:00:00","2015-02-13T11:15:00","Pyewackett","","Return to Owner","Spayed Female",1
"53","A279920.1","12 years","A279920","Dog","American Eskimo Mix","Cream","2014-08-27T13:11:00.000","7201 Levander Loop in Austin (TX)","Normal","Stray","Carry","Neutered Male",1,"12 years","A279920","Dog","American Eskimo Mix","Cream","2002-07-23T00:00:00","2014-09-05T14:31:00","Carry","Behavior","Euthanasia","Neutered Male",1
"54","A281542.1","12 years","A281542","Dog","Labrador Retriever Mix","Black/Brown Brindle","2013-12-23T13:23:00.000","Austin (TX)","Normal","Owner Surrender","George","Neutered Male",1,"12 years","A281542","Dog","Labrador Retriever Mix","Black/Brown Brindle","2001-09-25T00:00:00","2014-05-19T12:32:00","George","Foster","Adoption","Neutered Male",1
"55","A282897.1","12 years","A282897","Cat","Domestic Shorthair Mix","Black Smoke/White","2013-11-21T13:45:00.000","183 And Great Hills Trail in Travis (TX)","Normal","Stray","Toby","Neutered Male",1,"12 years","A282897","Cat","Domestic Shorthair Mix","Black Smoke/White","2001-10-08T00:00:00","2013-12-28T17:05:00","Toby","","Adoption","Neutered Male",1
"56","A282897.2","13 years","A282897","Cat","Domestic Shorthair Mix","Black Smoke/White","2015-07-06T15:06:00.000","Austin (TX)","Normal","Owner Surrender","Toby","Neutered Male",2,"13 years","A282897","Cat","Domestic Shorthair Mix","Black Smoke/White","2001-10-08T00:00:00","2015-07-11T16:49:00","Toby","","Adoption","Neutered Male",2
"57","A283735.1","13 years","A283735","Dog","Doberman Pinsch Mix","Brown/Tan","2015-01-22T12:06:00.000","Travis (TX)","Sick","Owner Surrender","Angel","Spayed Female",1,"13 years","A283735","Dog","Doberman Pinsch Mix","Brown/Tan","2001-10-15T00:00:00","2015-01-22T19:17:00","Angel","Suffering","Euthanasia","Spayed Female",1
"58","A284639.1","11 years","A284639","Dog","German Shepherd Mix","Tan","2014-01-27T13:05:00.000","Webberville Rd in Austin (TX)","Normal","Stray","Fatboy","Neutered Male",1,"11 years","A284639","Dog","German Shepherd Mix","Tan","2002-04-23T00:00:00","2014-01-28T13:17:00","Fatboy","","Return to Owner","Neutered Male",1
"59","A285685.1","17 years","A285685","Dog","Parson Russell Terrier Mix","White/Black","2017-04-12T16:04:00.000","1704 Nelms Dr #1925 in Austin (TX)","Normal","Stray","Napole0N","Neutered Male",1,"17 years","A285685","Dog","Parson Russell Terrier Mix","White/Black","2000-04-03T00:00:00","2017-04-13T11:56:00","Napole0N","","Return to Owner","Neutered Male",1
"60","A287017.1","13 years","A287017","Dog","Chihuahua Shorthair Mix","Black/White","2014-12-12T07:04:00.000","Lazy Oaks /Westgate William Cannon in Austin (TX)","Aged","Stray","Stitch","Spayed Female",1,"13 years","A287017","Dog","Chihuahua Shorthair Mix","Black/White","2001-05-13T00:00:00","2014-12-12T16:49:00","Stitch","","Return to Owner","Spayed Female",1
